quarter,ANGEL,SERIES-A,SERIES-B,SERIES-C+,VENTURE
2008-Q1,339,345,186,130,233
2008-Q2,197,272,169,145,197
2008-Q3,163,207,140,108,151
2008-Q4,120,166,128,86,188
2009-Q1,320,203,123,121,245
2009-Q2,225,145,105,123,208
2009-Q3,237,157,112,98,278
2009-Q4,190,231,146,109,569
2010-Q1,447,288,164,116,981
2010-Q2,309,230,135,159,893
2010-Q3,339,262,144,131,891
2010-Q4,322,283,118,148,835
2011-Q1,622,321,165,150,937
2011-Q2,497,326,146,147,887
2011-Q3,642,372,165,136,752
2011-Q4,602,354,152,109,721
2012-Q1,892,375,135,146,808
2012-Q2,728,376,152,151,819
2012-Q3,794,354,118,143,771
2012-Q4,730,320,123,125,715
2013-Q1,1053,404,147,144,608
2013-Q2,925,502,166,140,733
2013-Q3,986,576,202,175,596
2013-Q4,693,506,198,161,1015
